user query,refined score,selected score
I want a 1-day trip to South Korea with the budget of 5000.,94.0,41.400000000000006
I want a 5-day trip to Iceland with the budget of 1000.,97.0,48.0
I want a 1-day trip to South Korea with the budget of 500.,98.0,56.0
I want a 10-day trip to China with the budget of 10000.,97.0,56.0
I want a 1-day trip to Japan with the budget of 1000.,98.0,16.0
I want a 7-day trip to China with the budget of 5000.,98.0,65.0
I want a 1-day trip to Norway with the budget of 1000.,98.0,26.400000000000002
I want a 3-day trip to South Korea with the budget of 10000.,98.0,94.0
I want a 10-day trip to Norway with the budget of 10000.,97.0,81.0
I want a 10-day trip to Japan with the budget of 5000.,98.0,94.0
I want a 7-day trip to China with the budget of 1000.,98.0,57.0
I want a 5-day trip to Iceland with the budget of 1675,98.0,95.0
I want a 7-day trip to Norway with the budget of 5066,96.0,86.0
I want a 17-day trip to Norway with the budget of 4586,58.0,94.0
I want a 5-day trip to Ireland with the budget of 1205,97.0,94.0
I want a 8-day trip to Scotland with the budget of 2944,98.0,94.0
I want a 10-day trip to Scotland with the budget of 3321,97.0,97.0
I want a 8-day trip to Sweden with the budget of 1705,97.0,96.0
I want a 5-day trip to Santorini with the budget of 2000,97.0,78.0
I want a 7-day trip to Italy with the budget of 2500,97.0,98.0
